epoca,train_loss,val_loss,dice_tc,dice_wt,dice_et,dice_medio,lr,guardado
42,0.1594986958948315,0.2196894751452818,0.8756282329559326,0.863053023815155,0.8194132447242737,0.8526981472969055,0.0003,0
43,0.16436612954149482,0.2390257221896474,0.8479882478713989,0.8444515466690063,0.8055444359779358,0.8326614499092102,0.0003,0
44,0.15768973303378606,0.21337341353660677,0.8766821622848511,0.8795679807662964,0.8138091564178467,0.8566864132881165,0.0003,0
45,0.1556019630038836,0.2215186208486557,0.8400507569313049,0.8539319038391113,0.8054182529449463,0.8331336379051208,0.0003,0
46,0.1641033125094703,0.2123054067899541,0.8545088171958923,0.8759490251541138,0.8131118416786194,0.8478565216064453,0.0003,0
47,0.15742843885157928,0.20932313036627886,0.8614479899406433,0.8754584789276123,0.8151860237121582,0.8506975173950195,0.0003,0
48,0.1448418422312033,0.19447671131389896,0.8731024265289307,0.8804066181182861,0.8195107579231262,0.8576732277870178,0.0003,0
49,0.14066271239616832,0.1888236139969128,0.8797252178192139,0.8861185312271118,0.8246831893920898,0.8635089993476868,0.0003,1
50,0.13949632061431644,0.18007012402139058,0.8885428309440613,0.8855322599411011,0.8244358897209167,0.866170346736908,0.0003,1
51,0.13423059416598962,0.17746658350636318,0.8795121312141418,0.890792965888977,0.8261260986328125,0.8654770851135254,0.0003,0
52,0.131615120612207,0.17441207261347189,0.8914270997047424,0.8859838247299194,0.8232322335243225,0.8668810725212097,0.0003,1
53,0.12886854636742442,0.170893730731999,0.8836658000946045,0.8878486156463623,0.8289660215377808,0.8668268322944641,0.0003,0
54,0.1260714541021429,0.17589772310925694,0.8747281432151794,0.8867773413658142,0.8231265544891357,0.8615440726280212,0.0003,0
55,0.12439116292068216,0.1655446743456329,0.889225959777832,0.8883663415908813,0.8298317790031433,0.8691413998603821,0.0003,1
56,0.12290846122825733,0.17599924926350757,0.8749940395355225,0.8889737129211426,0.8111670017242432,0.8583782315254211,0.0003,0
57,0.12694147018501994,0.16312428727382566,0.8846765160560608,0.8915735483169556,0.827458381652832,0.8679027557373047,0.0003,0
58,0.1230432961563595,0.16438227673856223,0.8900161385536194,0.8838831186294556,0.8262045979499817,0.8667013049125671,0.0003,0
59,0.12372447131965005,0.16109166821328605,0.8758458495140076,0.8842846751213074,0.8239005208015442,0.8613436818122864,0.0003,0
60,0.12311252918033326,0.15839856663128224,0.8864043354988098,0.8875589370727539,0.8283661603927612,0.8674431443214417,0.0003,0
61,0.12271934298828976,0.15758403917638267,0.884282648563385,0.8867393136024475,0.8266621828079224,0.8658947348594666,0.0003,0
62,0.12217679250313611,0.1551593972778902,0.8831602931022644,0.8846532106399536,0.8329386115074158,0.8669173717498779,0.0003,0
63,0.12287145575172588,0.15309773022081793,0.8865846991539001,0.885563850402832,0.8339251279830933,0.8686912059783936,0.0003,0
64,0.11805386316092288,0.15660249169279888,0.8827801942825317,0.8800933361053467,0.8244903087615967,0.8624545931816101,0.0003,0
65,0.11713355062071418,0.15437791560117792,0.8799320459365845,0.8865534067153931,0.8255064487457275,0.8639972805976868,0.0003,0
66,0.11352872140094881,0.1511731322218732,0.8846172094345093,0.8874983191490173,0.8283804655075073,0.8668320178985596,0.0003,0
67,0.1138039013279266,0.15515757706470606,0.8839333653450012,0.8775198459625244,0.8252320885658264,0.8622283935546875,0.0003,0
68,0.11472596884628788,0.1451550991978587,0.8878769278526306,0.8915567994117737,0.8278760313987732,0.8691032528877258,0.0003,0
69,0.11207714096688834,0.15218837868149687,0.874796986579895,0.8885098695755005,0.8230736255645752,0.8621268272399902,0.0003,0
70,0.10970497329826237,0.1418829511215047,0.8937804102897644,0.8851638436317444,0.8307926058769226,0.869912326335907,0.0003,1
