=== HISTORIAL DE ENTRENAMIENTO ===
Fecha inicio: 2026-07-04 00:10:43
Fecha fin: 2026-07-04 02:25:16
Duracion total: 2:14:32.681679
Epocas ejecutadas: 100 / 450
Mejor epoca (modelo guardado, criterio = Dice mas alto): 75
Mejor Dice medio de validacion: 0.874888
Loss de validacion en esa epoca: 0.134979
Modelo guardado en: model_brats.pth

Hiperparametros:
  arquitectura: RadsUNet3D
  features: [32, 64, 128, 256]
  semilla: 42
  learning_rate_inicial: 0.0003
  weight_decay: 1e-05
  pasos_acumulacion: 8
  paciencia_early_stopping: 25
  num_epocas: 450
  criterio_guardado: mejor Dice medio de validacion
  convencion_dice: BraTS (ignore_empty=False)
  dispositivo: cuda

 Epoca |  Loss train |   Loss val |  Dice TC |  Dice WT |  Dice ET | Dice med |         LR | Guardado
    62 |    0.122177 |   0.155159 |   0.8832 |   0.8847 |   0.8329 |   0.8669 |   3.00e-04 | 
    63 |    0.122871 |   0.153098 |   0.8866 |   0.8856 |   0.8339 |   0.8687 |   3.00e-04 | 
    64 |    0.118054 |   0.156602 |   0.8828 |   0.8801 |   0.8245 |   0.8625 |   3.00e-04 | 
    65 |    0.117134 |   0.154378 |   0.8799 |   0.8866 |   0.8255 |   0.8640 |   3.00e-04 | 
    66 |    0.113529 |   0.151173 |   0.8846 |   0.8875 |   0.8284 |   0.8668 |   3.00e-04 | 
    67 |    0.113804 |   0.155158 |   0.8839 |   0.8775 |   0.8252 |   0.8622 |   3.00e-04 | 
    68 |    0.114726 |   0.145155 |   0.8879 |   0.8916 |   0.8279 |   0.8691 |   3.00e-04 | 
    69 |    0.112077 |   0.152188 |   0.8748 |   0.8885 |   0.8231 |   0.8621 |   3.00e-04 | 
    70 |    0.109705 |   0.141883 |   0.8938 |   0.8852 |   0.8308 |   0.8699 |   3.00e-04 | SI
    71 |    0.109564 |   0.143718 |   0.8879 |   0.8858 |   0.8359 |   0.8699 |   3.00e-04 | 
    72 |    0.108069 |   0.139161 |   0.8891 |   0.8934 |   0.8307 |   0.8711 |   3.00e-04 | SI
    73 |    0.108538 |   0.140265 |   0.8904 |   0.8888 |   0.8307 |   0.8700 |   3.00e-04 | 
    74 |    0.106602 |   0.141789 |   0.8869 |   0.8911 |   0.8248 |   0.8676 |   3.00e-04 | 
    75 |    0.107493 |   0.134979 |   0.8961 |   0.8934 |   0.8352 |   0.8749 |   3.00e-04 | SI
    76 |    0.107843 |   0.138045 |   0.8916 |   0.8893 |   0.8305 |   0.8705 |   3.00e-04 | 
    77 |    0.105765 |   0.139594 |   0.8918 |   0.8908 |   0.8231 |   0.8686 |   3.00e-04 | 
    78 |    0.107097 |   0.147284 |   0.8749 |   0.8802 |   0.8247 |   0.8600 |   3.00e-04 | 
    79 |    0.104952 |   0.141069 |   0.8833 |   0.8881 |   0.8239 |   0.8651 |   3.00e-04 | 
    80 |    0.106696 |   0.134472 |   0.8948 |   0.8867 |   0.8363 |   0.8726 |   3.00e-04 | 
    81 |    0.104565 |   0.137076 |   0.8937 |   0.8777 |   0.8297 |   0.8670 |   3.00e-04 | 
    82 |    0.118771 |   0.161435 |   0.8562 |   0.8781 |   0.7860 |   0.8401 |   3.00e-04 | 
    83 |    0.115344 |   0.147054 |   0.8871 |   0.8535 |   0.8275 |   0.8560 |   3.00e-04 | 
    84 |    0.119411 |   0.145913 |   0.8620 |   0.8866 |   0.8189 |   0.8558 |   3.00e-04 | 
    85 |    0.132152 |   0.138403 |   0.8802 |   0.8855 |   0.8273 |   0.8644 |   3.00e-04 | 
    86 |    0.124344 |   0.141472 |   0.8717 |   0.8888 |   0.8282 |   0.8629 |   3.00e-04 | 
    87 |    0.118210 |   0.153196 |   0.8516 |   0.8837 |   0.8049 |   0.8467 |   3.00e-04 | 
    88 |    0.120885 |   0.156193 |   0.8575 |   0.8771 |   0.8127 |   0.8491 |   3.00e-04 | 
    89 |    0.109873 |   0.144906 |   0.8736 |   0.8849 |   0.8142 |   0.8576 |   3.00e-04 | 
    90 |    0.112027 |   0.147162 |   0.8594 |   0.8857 |   0.8192 |   0.8548 |   3.00e-04 | 
    91 |    0.111662 |   0.133554 |   0.8931 |   0.8869 |   0.8248 |   0.8683 |   3.00e-04 | 
    92 |    0.110052 |   0.134478 |   0.8831 |   0.8872 |   0.8309 |   0.8670 |   3.00e-04 | 
    93 |    0.106188 |   0.132660 |   0.8898 |   0.8831 |   0.8331 |   0.8687 |   3.00e-04 | 
    94 |    0.102190 |   0.129003 |   0.8928 |   0.8881 |   0.8301 |   0.8704 |   3.00e-04 | 
    95 |    0.101984 |   0.128459 |   0.8886 |   0.8903 |   0.8344 |   0.8711 |   3.00e-04 | 
    96 |    0.101458 |   0.130529 |   0.8894 |   0.8904 |   0.8275 |   0.8691 |   3.00e-04 | 
    97 |    0.099373 |   0.130832 |   0.8863 |   0.8880 |   0.8303 |   0.8682 |   3.00e-04 | 
    98 |    0.097749 |   0.128655 |   0.8902 |   0.8895 |   0.8334 |   0.8710 |   3.00e-04 | 
    99 |    0.099680 |   0.126786 |   0.8945 |   0.8880 |   0.8329 |   0.8718 |   3.00e-04 | 
   100 |    0.096885 |   0.128142 |   0.8934 |   0.8888 |   0.8297 |   0.8706 |   3.00e-04 | 
